Categoria,Ciudad,Pais/Región,Nombre del Cliente,Proveedor,Fecha de Orden,ID Orden,Codigo Postal,Nombre de Producto,Region,Segmento,Fecha de Envio,Modo de Envio,Estado/Provincia,Sub-Categoria,Descuento,Ganancia,Cantidad,Ventas
Suministros de Oficina,Houston,United States,Darren Powers,Message Book,03/01/2019,US-2019-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumidor,07/01/2019,Standard Class,Texas,Papel,0.2,5.5512,2,16.448
Suministros de Oficina,Naperville,United States,Phillina Ober,GBC,04/01/2019,US-2019-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,08/01/2019,Standard Class,Illinois,Portafolio,0.8,-5.487,2,3.54
Suministros de Oficina,Naperville,United States,Phillina Ober,Avery,04/01/2019,US-2019-112326,60540,Avery 508,Central,Home Office,08/01/2019,Standard Class,Illinois,Etiquetas,0.2,4.2717,3,11.784
Suministros de Oficina,Naperville,United States,Phillina Ober,SAFCO,04/01/2019,US-2019-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,08/01/2019,Standard Class,Illinois,Almacenamiento,0.2,-64.7748,3,272.736
Suministros de Oficina,Philadelphia,United States,Mick Brown,Avery,05/01/2019,US-2019-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Este,Consumidor,12/01/2019,Standard Class,Pennsylvania,Arte,0.2,4.884,3,19.536
Muebles,Henderson,United States,Maria Etezadi,Global,06/01/2019,US-2019-167199,42420,Global Deluxe High-Back Manager's Chair,Sur,Home Office,10/01/2019,Standard Class,Kentucky,Sillas,0,746.4078,9,2573.82
Suministros de Oficina,Henderson,United States,Maria Etezadi,Rogers,06/01/2019,US-2019-167199,42420,Rogers Handheld Barrel Pencil Sharpener,Sur,Home Office,10/01/2019,Standard Class,Kentucky,Arte,0,1.4796,2,5.48
Suministros de Oficina,Athens,United States,Jack O'Briant,Dixon,06/01/2019,US-2019-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Sur,Corporativo,07/01/2019,First Class,Georgia,Arte,0,5.2398,3,12.78
Suministros de Oficina,Henderson,United States,Maria Etezadi,Ibico,06/01/2019,US-2019-167199,42420,Ibico Hi-Tech Manual Binding System,Sur,Home Office,10/01/2019,Standard Class,Kentucky,Portafolio,0,274.491,2,609.98
Suministros de Oficina,Henderson,United States,Maria Etezadi,Alliance,06/01/2019,US-2019-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",Sur,Home Office,10/01/2019,Standard Class,Kentucky,Ajustadores,0,0.3112,4,31.12
Suministros de Oficina,Henderson,United States,Maria Etezadi,Southworth,06/01/2019,US-2019-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,Sur,Home Office,10/01/2019,Standard Class,Kentucky,Papel,0,3.0084,1,6.54
Suministros de Oficina,Los Angeles,United States,Lycoris Saunders,Xerox,06/01/2019,US-2019-130813,90049,Xerox 225,Oeste,Consumidor,08/01/2019,Second Class,California,Papel,0,9.3312,3,19.44
Tecnología,Henderson,United States,Maria Etezadi,Other,06/01/2019,US-2019-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,Sur,Home Office,10/01/2019,Standard Class,Kentucky,Telefonos,0,204.1092,4,755.96
Tecnología,Henderson,United States,Maria Etezadi,GE,06/01/2019,US-2019-167199,42420,GE 30524EE4,Sur,Home Office,10/01/2019,Standard Class,Kentucky,Telefonos,0,113.6742,2,391.98
Muebles,Huntsville,United States,Vivek Sundaresam,Howard Miller,07/01/2019,US-2019-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumidor,12/01/2019,Standard Class,Texas,Muebleria,0.6,-53.7096,3,76.728
Suministros de Oficina,Huntsville,United States,Vivek Sundaresam,Acco,07/01/2019,US-2019-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumidor,12/01/2019,Standard Class,Texas,Portafolio,0.8,-18.2525,7,10.43
Suministros de Oficina,Laredo,United States,Melanie Seite,Newell,09/01/2019,US-2019-135405,78041,Newell 312,Central,Consumidor,13/01/2019,Standard Class,Texas,Arte,0.2,1.168,2,9.344
Tecnología,Laredo,United States,Melanie Seite,Memorex,09/01/2019,US-2019-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumidor,13/01/2019,Standard Class,Texas,Accesorios,0.2,9.75,3,31.2
Muebles,Springfield,United States,Anthony Jacobs,Howard Miller,10/01/2019,US-2019-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Sur,Corporativo,15/01/2019,Standard Class,Virginia,Muebleria,0,21.2954,1,51.94
Suministros de Oficina,Springfield,United States,Anthony Jacobs,Avery,10/01/2019,US-2019-149020,22153,Avery 482,Sur,Corporativo,15/01/2019,Standard Class,Virginia,Etiquetas,0,1.3583,1,2.89
Muebles,Dover,United States,Seth Vernon,DAX,11/01/2019,US-2019-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",Este,Consumidor,14/01/2019,First Class,Delaware,Muebleria,0,3.0814,2,9.94
Muebles,San Francisco,United States,Brian Dahlen,O'Sullivan,13/01/2019,US-2019-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",Oeste,Consumidor,18/01/2019,Standard Class,California,Libreros,0.15,3.9294,3,333.999
Muebles,Mount Pleasant,United States,Natalie DeCherney,Global,13/01/2019,US-2019-109232,29464,Global Highback Leather Tilter in Burgundy,Sur,Consumidor,16/01/2019,Second Class,South Carolina,Sillas,0,87.3504,6,545.94
Suministros de Oficina,San Francisco,United States,Brian Dahlen,Other,13/01/2019,US-2019-157147,94109,4009 Highlighters by Sanford,Oeste,Consumidor,18/01/2019,Standard Class,California,Arte,0,6.567,5,19.9
Suministros de Oficina,Newark,United States,Michael Moore,Avery,13/01/2019,US-2019-118192,43055,Avery Metallic Poly Binders,Este,Consumidor,18/01/2019,Standard Class,Ohio,Portafolio,0.7,-2.5212,2,3.438
Suministros de Oficina,Bossier City,United States,Chris Selesnick,3-ring staple pack,13/01/2019,US-2019-162775,71111,3-ring staple pack,Sur,Corporativo,15/01/2019,Second Class,Louisiana,Portafolio,0,2.7072,3,5.64
Suministros de Oficina,Bossier City,United States,Chris Selesnick,Other,13/01/2019,US-2019-162775,71111,Brown Kraft Recycled Envelopes,Sur,Corporativo,15/01/2019,Second Class,Louisiana,Sobres,0,25.47,3,50.94
Suministros de Oficina,Bossier City,United States,Chris Selesnick,Staple envelope,13/01/2019,US-2019-162775,71111,Staple envelope,Sur,Corporativo,15/01/2019,Second Class,Louisiana,Sobres,0,5.3392,2,11.36
Suministros de Oficina,Newark,United States,Michael Moore,Xerox,13/01/2019,US-2019-118192,43055,Xerox 1923,Este,Consumidor,18/01/2019,Standard Class,Ohio,Papel,0.2,13.0928,7,37.408
Suministros de Oficina,Bossier City,United States,Chris Selesnick,Fellowes,13/01/2019,US-2019-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,Sur,Corporativo,15/01/2019,Second Class,Louisiana,Almacenamiento,0,34.3548,6,572.58
Suministros de Oficina,San Francisco,United States,Brian Dahlen,Tennsco,13/01/2019,US-2019-157147,94109,Tennsco 6- and 18-Compartment Lockers,Oeste,Consumidor,18/01/2019,Standard Class,California,Almacenamiento,0,238.653,5,1325.85
Tecnología,Bossier City,United States,Chris Selesnick,Plantronics,13/01/2019,US-2019-162775,71111,Plantronics S12 Corded Telephone Headset System,Sur,Corporativo,15/01/2019,Second Class,Louisiana,Accesorios,0,258.696,6,646.74
Muebles,Philadelphia,United States,Brendan Sweed,Sauder,14/01/2019,US-2019-149524,19140,Sauder Cornerstone Collection Library,Este,Corporativo,15/01/2019,First Class,Pennsylvania,Libreros,0.5,-53.2856,4,61.96
Tecnología,Roswell,United States,Erica Hackney,Logitech,15/01/2019,US-2019-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Sur,Consumidor,17/01/2019,First Class,Georgia,Accesorios,0,65.978,5,149.95
Muebles,Philadelphia,United States,Delfina Latchford,DAX,16/01/2019,US-2019-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,Este,Consumidor,18/01/2019,Second Class,Pennsylvania,Muebleria,0.2,28.5984,6,127.104
Suministros de Oficina,Philadelphia,United States,Delfina Latchford,GBC,16/01/2019,US-2019-115791,19134,GBC Linen Binding Covers,Este,Consumidor,18/01/2019,Second Class,Pennsylvania,Portafolio,0.7,-13.6312,2,18.588
Suministros de Oficina,Philadelphia,United States,Delfina Latchford,Other,16/01/2019,US-2019-115791,19134,Round Specialty Laser Printer Labels,Este,Consumidor,18/01/2019,Second Class,Pennsylvania,Etiquetas,0.2,10.1493,3,30.072
Tecnología,Philadelphia,United States,Delfina Latchford,AT&T,16/01/2019,US-2019-115791,19134,AT&T 841000 Phone,Este,Consumidor,18/01/2019,Second Class,Pennsylvania,Telefonos,0.4,-31.05,3,124.2
Suministros de Oficina,Springfield,United States,David Wiener,Fellowes,18/01/2019,US-2019-123477,97477,Fellowes Mighty 8 Compact Surge Protector,Oeste,Corporativo,21/01/2019,Second Class,Oregon,Linea Blanca,0.2,6.4864,4,64.864
Muebles,Scottsdale,United States,Toby Swindell,O'Sullivan,19/01/2019,US-2019-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Oeste,Consumidor,20/01/2019,First Class,Arizona,Libreros,0.7,-320.597,5,181.47
Suministros de Oficina,Scottsdale,United States,Toby Swindell,GBC,19/01/2019,US-2019-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Oeste,Consumidor,20/01/2019,First Class,Arizona,Portafolio,0.7,-23.716,10,32.34
Suministros de Oficina,Scottsdale,United States,Toby Swindell,Tyvek,19/01/2019,US-2019-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Oeste,Consumidor,20/01/2019,First Class,Arizona,Sobres,0.2,36.693,5,108.72
Suministros de Oficina,Scottsdale,United States,Toby Swindell,TOPS,19/01/2019,US-2019-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Oeste,Consumidor,20/01/2019,First Class,Arizona,Papel,0.2,19.6224,4,56.064
Muebles,Jonesboro,United States,Hunter Lopez,Hon,20/01/2019,US-2019-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Sur,Consumidor,26/01/2019,Standard Class,Arkansas,Sillas,0,224.2674,3,1067.94
Muebles,Westland,United States,Xylona Preis,Ultra,20/01/2019,US-2019-167927,48185,Ultra Door Push Plate,Central,Consumidor,26/01/2019,Standard Class,Michigan,Muebleria,0,4.8609,3,14.73
Muebles,Westland,United States,Xylona Preis,Eldon,20/01/2019,US-2019-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumidor,26/01/2019,Standard Class,Michigan,Muebleria,0,30.0234,3,272.94
Muebles,Jonesboro,United States,Hunter Lopez,Eldon,20/01/2019,US-2019-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Sur,Consumidor,26/01/2019,Standard Class,Arkansas,Muebleria,0,11.58,4,38.6
Muebles,Los Angeles,United States,Mark Van Huff,Eldon,20/01/2019,US-2019-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Oeste,Consumidor,25/01/2019,Standard Class,California,Muebleria,0,5.79,2,19.3
Suministros de Oficina,Westland,United States,Xylona Preis,Holmes,20/01/2019,US-2019-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumidor,26/01/2019,Standard Class,Michigan,Linea Blanca,0.1,93.5816,4,247.716
Suministros de Oficina,Jonesboro,United States,Hunter Lopez,Newell,20/01/2019,US-2019-147627,72401,Newell 351,Sur,Consumidor,26/01/2019,Standard Class,Arkansas,Arte,0,6.6584,7,22.96
Suministros de Oficina,Jonesboro,United States,Hunter Lopez,Newell,20/01/2019,US-2019-147627,72401,Newell 327,Sur,Consumidor,26/01/2019,Standard Class,Arkansas,Arte,0,1.7901,3,6.63
Suministros de Oficina,Westland,United States,Xylona Preis,Panasonic,20/01/2019,US-2019-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumidor,26/01/2019,Standard Class,Michigan,Arte,0,12.7368,3,43.92
Suministros de Oficina,Westland,United States,Xylona Preis,Acco,20/01/2019,US-2019-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumidor,26/01/2019,Standard Class,Michigan,Portafolio,0,8.9535,5,19.05
Suministros de Oficina,Smyrna,United States,Muhammed MacIntyre,GBC,20/01/2019,US-2019-147774,37167,GBC DocuBind TL200 Manual Binding Machine,Sur,Corporativo,26/01/2019,Standard Class,Tennessee,Portafolio,0.7,-51.5154,1,67.194
Suministros de Oficina,Westland,United States,Xylona Preis,Storex,20/01/2019,US-2019-167927,48185,Storex Dura Pro Binders,Central,Consumidor,26/01/2019,Standard Class,Michigan,Portafolio,0,13.365,5,29.7
Suministros de Oficina,Jonesboro,United States,Hunter Lopez,Staple envelope,20/01/2019,US-2019-147627,72401,Staple envelope,Sur,Consumidor,26/01/2019,Standard Class,Arkansas,Sobres,0,10.9698,3,23.34
Suministros de Oficina,Los Angeles,United States,Mark Van Huff,Wirebound,20/01/2019,US-2019-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",Oeste,Consumidor,25/01/2019,Standard Class,California,Papel,0,9.2928,2,19.36
Suministros de Oficina,Westland,United States,Xylona Preis,Eldon,20/01/2019,US-2019-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumidor,26/01/2019,Standard Class,Michigan,Almacenamiento,0,4.0542,1,13.98
Suministros de Oficina,Westland,United States,Xylona Preis,Fellowes,20/01/2019,US-2019-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumidor,26/01/2019,Standard Class,Michigan,Almacenamiento,0,15.9792,2,66.58
Tecnología,Jonesboro,United States,Hunter Lopez,Apple,20/01/2019,US-2019-147627,72401,Apple iPhone 5C,Sur,Consumidor,26/01/2019,Standard Class,Arkansas,Telefonos,0,181.9818,7,699.93
Muebles,Miami,United States,Tom Boeckenhauer,Ultra,21/01/2019,US-2019-110422,33180,Ultra Door Pull Handle,Sur,Consumidor,23/01/2019,Second Class,Florida,Muebleria,0.2,4.1028,3,25.248
Muebles,Toronto,Canada,Jane Waco,Eldon,21/01/2019,CA-2019-115238,M7A,"Eldon Imàge Series Desk Accessories, Clear",Este,Corporativo,24/01/2019,Standard Class,Ontario,Muebleria,0,10.45,5,24.3
Muebles,Toronto,Canada,Jane Waco,DAX,21/01/2019,CA-2019-115238,M7A,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Este,Corporativo,24/01/2019,Standard Class,Ontario,Muebleria,0,3.79,1,9.48
Muebles,Toronto,Canada,Jane Waco,Eldon,21/01/2019,CA-2019-115238,M7A,"Eldon 200 Class Desk Accessories, Burgundy",Este,Corporativo,24/01/2019,Standard Class,Ontario,Muebleria,0,13.19,5,31.4
Suministros de Oficina,Toronto,Canada,Jane Waco,Other,21/01/2019,CA-2019-115238,M7A,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Este,Corporativo,24/01/2019,Standard Class,Ontario,Papel,0,3.11,1,6.48
Tecnología,Toronto,Canada,Jane Waco,Other,21/01/2019,CA-2019-115238,M7A,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Este,Corporativo,24/01/2019,Standard Class,Ontario,Telefonos,0,58.66,10,209.5
Suministros de Oficina,Lafayette,United States,Speros Goranitis,Alliance,23/01/2019,US-2019-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumidor,27/01/2019,Standard Class,Indiana,Ajustadores,0,0,3,5.94
Suministros de Oficina,Las Vegas,United States,Ionia McGrath,Xerox,23/01/2019,US-2019-102645,89115,Xerox 195,Oeste,Consumidor,28/01/2019,Standard Class,Nevada,Papel,0,19.2384,6,40.08
Muebles,Rapid City,United States,Carol Adams,SAFCO,26/01/2019,US-2019-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporativo,29/01/2019,First Class,South Dakota,Libreros,0,39.7488,2,141.96
Muebles,Alexandria,United States,Shirley Daniels,Eldon,26/01/2019,US-2019-155502,22304,Eldon Image Series Black Desk Accessories,Sur,Home Office,31/01/2019,Standard Class,Virginia,Muebleria,0,4.4712,3,12.42
Muebles,Alexandria,United States,Shirley Daniels,GE,26/01/2019,US-2019-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Sur,Home Office,31/01/2019,Standard Class,Virginia,Muebleria,0,30.7818,3,62.82
Suministros de Oficina,Rapid City,United States,Carol Adams,Wilson Jones,26/01/2019,US-2019-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporativo,29/01/2019,First Class,South Dakota,Portafolio,0,5.0196,2,10.68
Suministros de Oficina,Alexandria,United States,Shirley Daniels,REDIFORM,26/01/2019,US-2019-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Sur,Home Office,31/01/2019,Standard Class,Virginia,Papel,0,8.34,2,16.68
Suministros de Oficina,Alexandria,United States,Shirley Daniels,Eureka,26/01/2019,US-2019-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Sur,Home Office,31/01/2019,Standard Class,Virginia,Papel,0,9.3312,3,19.44
Suministros de Oficina,Alexandria,United States,Shirley Daniels,SAFCO,26/01/2019,US-2019-155502,22304,"SAFCO Commercial Wire Shelving, 72h",Sur,Home Office,31/01/2019,Standard Class,Virginia,Almacenamiento,0,0,8,489.92
Tecnología,Alexandria,United States,Shirley Daniels,Jabra,26/01/2019,US-2019-155502,22304,Jabra SPEAK 410,Sur,Home Office,31/01/2019,Standard Class,Virginia,Telefonos,0,52.6344,2,187.98
Tecnología,Alexandria,United States,Shirley Daniels,Other,26/01/2019,US-2019-155502,22304,Macally Suction Cup Mount,Sur,Home Office,31/01/2019,Standard Class,Virginia,Telefonos,0,0,13,155.35
Muebles,San Diego,United States,Ed Jacobs,Balt,27/01/2019,US-2019-117163,92037,Balt Split Level Computer Training Table,Oeste,Consumidor,02/02/2019,Standard Class,California,Mesas,0.2,-16.65,3,333
Suministros de Oficina,San Diego,United States,Ed Jacobs,Dixon,27/01/2019,US-2019-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,Oeste,Consumidor,02/02/2019,Standard Class,California,Arte,0,12.0252,4,36.44
Suministros de Oficina,San Diego,United States,Ed Jacobs,Other,27/01/2019,US-2019-117163,92037,Recycled Steel Personal File for Hanging File Folders,Oeste,Consumidor,02/02/2019,Standard Class,California,Almacenamiento,0,14.3075,1,57.23
Suministros de Oficina,New York City,United States,Jasper Cacioppo,Pressboard,28/01/2019,US-2019-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Este,Consumidor,03/02/2019,Standard Class,New York,Portafolio,0.2,1.3257,1,3.928
Suministros de Oficina,Detroit,United States,Mike Vittorini,Xerox,30/01/2019,US-2019-134103,48234,Xerox 1972,Central,Consumidor,04/02/2019,Standard Class,Michigan,Papel,0,4.752,2,10.56
